Time,Day,Month,Year,Passengers,Air temperature,Mean wind speed
1,1,1,2009,0,-10,0
2,1,1,2009,0,-10,0
3,1,1,2009,0,-13,0
4,1,1,2009,0,-12,0
5,1,1,2009,0,-12,0
6,1,1,2009,187,-13,0
7,1,1,2009,122,-14,0
8,1,1,2009,83,-12,0
9,1,1,2009,215,-13,0
10,1,1,2009,524,-11,0
11,1,1,2009,771,-10,0
12,1,1,2009,719,-9,0
13,1,1,2009,993,-8,0
14,1,1,2009,1278,-8,0
15,1,1,2009,939,-9,0
16,1,1,2009,1555,-10,0
17,1,1,2009,1341,-11,0
18,1,1,2009,2292,-12,0
19,1,1,2009,1535,-10,0.5
20,1,1,2009,785,-11,0.5
21,1,1,2009,1067,-9,1
22,1,1,2009,897,-9,1
23,1,1,2009,709,-10,1
0,2,1,2009,109,-9,1
1,2,1,2009,0,-10,2.1
2,2,1,2009,0,-10,2.1
3,2,1,2009,0,-8,3.1
4,2,1,2009,0,-9,3.1
5,2,1,2009,0,-9,1.5
6,2,1,2009,472,-9,2.6
7,2,1,2009,724,-9,2.6
8,2,1,2009,870,-10,2.6
9,2,1,2009,1041,-8,3.1
10,2,1,2009,1380,-9,2.6
11,2,1,2009,1548,-7,3.1
12,2,1,2009,1858,-7,3.1
13,2,1,2009,2472,-8,2.1
14,2,1,2009,2864,-8,1
15,2,1,2009,2994,-9,0
16,2,1,2009,3931,-11,2.1
17,2,1,2009,4311,-10,0
18,2,1,2009,3319,-8,2.1
19,2,1,2009,3475,-9,1.5
20,2,1,2009,3240,-9,1.5
21,2,1,2009,3356,-8,0
22,2,1,2009,2614,-9,1
23,2,1,2009,774,-10,1
0,3,1,2009,125,-9,1
1,3,1,2009,0,-9,0
2,3,1,2009,0,-8,1
3,3,1,2009,0,-7,1.5
4,3,1,2009,0,-6,1.5
5,3,1,2009,0,-8,0
6,3,1,2009,703,-8,0
7,3,1,2009,722,-7,2.6
8,3,1,2009,1150,-6,1.5
9,3,1,2009,1182,-7,1.5
10,3,1,2009,1542,-5,0
11,3,1,2009,2436,-6,2.1
12,3,1,2009,2621,-5,0.5
13,3,1,2009,3097,-6,0
14,3,1,2009,3759,-5,4.6
15,3,1,2009,3925,-4,5.7
16,3,1,2009,3941,-4,2.6
17,3,1,2009,4194,-5,2.1
18,3,1,2009,3764,-5,0
19,3,1,2009,4028,-6,0
20,3,1,2009,3389,-9,1
21,3,1,2009,3621,-12,1
22,3,1,2009,2957,-10,0.5
23,3,1,2009,1595,-10,0
0,4,1,2009,0,-11,1
1,4,1,2009,0,-9,1
2,4,1,2009,0,-9,1
3,4,1,2009,0,-10,2.1
4,4,1,2009,0,-12,1.5
5,4,1,2009,0,-12,1.5
6,4,1,2009,798,-13,2.1
7,4,1,2009,3596,-13,1
8,4,1,2009,4905,-14,2.6
9,4,1,2009,4271,-14,1.5
10,4,1,2009,2851,-13,0
11,4,1,2009,2269,-12,1
12,4,1,2009,2039,-11,1.5
13,4,1,2009,1959,-10,0
14,4,1,2009,2392,-11,1
15,4,1,2009,3212,-12,0.5
16,4,1,2009,4350,-14,0
17,4,1,2009,4558,-15,1.5
18,4,1,2009,3372,-15,1.5
19,4,1,2009,3361,-16,1.5
20,4,1,2009,2638,-16,1
21,4,1,2009,2162,-17,2.1
22,4,1,2009,1678,-15,0.5
23,4,1,2009,706,-16,1
0,5,1,2009,0,-17,0.5
1,5,1,2009,0,-17,1.5
2,5,1,2009,0,-15,1.5
3,5,1,2009,0,-13,0.5
4,5,1,2009,0,-17,0
5,5,1,2009,0,-17,0.5
6,5,1,2009,855,-17,0
7,5,1,2009,2655,-17,0.5
8,5,1,2009,2325,-17,0
9,5,1,2009,2091,-16,0
10,5,1,2009,1686,-14,0
11,5,1,2009,2338,-12,1
12,5,1,2009,2572,-13,0.5
13,5,1,2009,2033,-13,1
14,5,1,2009,2528,-11,0.5
15,5,1,2009,3422,-12,1.5
16,5,1,2009,2703,-13,0.5
17,5,1,2009,2510,-12,2.1
18,5,1,2009,1920,-14,1
19,5,1,2009,1797,-13,2.1
20,5,1,2009,1048,-11,0.5
21,5,1,2009,848,-11,1.5
22,5,1,2009,793,-12,1
23,5,1,2009,653,-12,0
0,6,1,2009,0,-12,0.5
1,6,1,2009,0,-12,1.5
2,6,1,2009,0,-12,0.5
3,6,1,2009,0,-11,0
4,6,1,2009,0,-11,1.5
5,6,1,2009,0,-11,1
6,6,1,2009,365,-10,0
7,6,1,2009,689,-11,0.5
8,6,1,2009,1232,-6,1.5
9,6,1,2009,2195,-6,5.7
10,6,1,2009,2113,-6,6.2
11,6,1,2009,2132,-4,7.2
12,6,1,2009,2950,-4,7.2
13,6,1,2009,2362,-4,4.1
14,6,1,2009,3085,-3,6.2
15,6,1,2009,3713,-4,4.1
16,6,1,2009,5053,-4,4.6
17,6,1,2009,4703,-5,0.5
18,6,1,2009,3683,-7,1.5
19,6,1,2009,4503,-7,2.6
20,6,1,2009,3305,-4,2.6
21,6,1,2009,3872,-3,2.1
22,6,1,2009,3112,-5,3.1
23,6,1,2009,1205,-3,5.1
0,7,1,2009,0,-4,2.6
1,7,1,2009,77,-5,0
2,7,1,2009,108,-5,1
3,7,1,2009,0,-8,1
4,7,1,2009,0,-9,0
5,7,1,2009,100,-7,2.1
6,7,1,2009,1462,-6,0
7,7,1,2009,3725,-6,1.5
8,7,1,2009,3561,-7,3.6
9,7,1,2009,2984,-8,2.1
10,7,1,2009,3526,-6,1.5
11,7,1,2009,2688,-6,0
12,7,1,2009,3272,-5,1.5
13,7,1,2009,1718,-5,1
14,7,1,2009,3850,-4,2.1
15,7,1,2009,3777,-5,1
16,7,1,2009,4948,-7,1.5
17,7,1,2009,3420,-8,1.5
18,7,1,2009,2949,-8,2.1
19,7,1,2009,4161,-8,1
20,7,1,2009,1957,-8,0.5
21,7,1,2009,2412,-9,1.5
22,7,1,2009,1552,-11,1.5
23,7,1,2009,1255,-9,1
0,8,1,2009,147,-10,0.5
1,8,1,2009,183,-10,0
2,8,1,2009,0,-9,1.5
3,8,1,2009,0,-8,4.1
4,8,1,2009,0,-7,4.1
5,8,1,2009,0,-7,3.6
6,8,1,2009,1004,-7,3.1
7,8,1,2009,2319,-7,3.6
8,8,1,2009,1711,-6,3.6
9,8,1,2009,2359,-5,3.6
10,8,1,2009,2030,-4,3.1
11,8,1,2009,2247,-5,3.6
12,8,1,2009,2027,-4,3.6
13,8,1,2009,2932,-3,3.6
14,8,1,2009,2793,-2,3.1
15,8,1,2009,2781,-3,3.1
16,8,1,2009,2483,-2,3.6
17,8,1,2009,1497,-1,4.6
18,8,1,2009,1397,2,2.6
19,8,1,2009,1388,2,2.6
20,8,1,2009,1036,2,5.7
21,8,1,2009,1120,2,5.1
22,8,1,2009,1487,1,6.2
23,8,1,2009,1300,2,5.7
0,9,1,2009,112,1,2.1
1,9,1,2009,0,0,1
2,9,1,2009,0,0,2.1
3,9,1,2009,0,-1,2.1
4,9,1,2009,0,-3,1.5
5,9,1,2009,0,-4,1
6,9,1,2009,877,-3,0.5
7,9,1,2009,3358,-4,1
8,9,1,2009,3897,-5,1
9,9,1,2009,4055,-5,2.1
10,9,1,2009,2550,-5,1
11,9,1,2009,1999,-2,0
12,9,1,2009,2178,-4,1
13,9,1,2009,2087,-3,1.5
14,9,1,2009,1916,-3,1.5
15,9,1,2009,3389,-3,1.5
16,9,1,2009,3912,-1,2.6
17,9,1,2009,3541,-3,0
18,9,1,2009,2970,-3,1
19,9,1,2009,3033,-3,1
20,9,1,2009,1924,-5,1
21,9,1,2009,1912,-6,1
22,9,1,2009,1006,-6,0
23,9,1,2009,487,-6,0
0,10,1,2009,97,-7,1
1,10,1,2009,0,-8,0.5
